id,product_name,category,price_clp,rating,store_name,sku
117,Canon Lumix 53,camara,785000,4.6,Paris.cl,CANCA00117
118,GoPro Lumix 55,camara,267000,2.9,PC Factory,GOPCA00118
119,Kodak HERO 69,camara,287000,3.3,SóloParaTi,KODCA00119
120,Realme 10 71,tablet,405000,4.2,SóloParaTi,REATA00120
121,Lenovo 10 10,tablet,187000,3.6,Paris.cl,LENTA00121
122,Kodak HERO 27,camara,996000,3.1,PC Factory,KODCA00122
123,Realme 10 56,tablet,507000,4.9,Ripley,REATA00123
124,Realme GT 3,celular,167000,4.9,ABCDigital,REACE00124
125,WF-1000XM5,audio,211000,4.0,ABCDigital,SONAU00125
126,Moto G84,celular,730000,4.2,SóloParaTi,MOTCE00126
127,MacBook Pro 16,laptop,1532000,4.6,Paris.cl,APPLA00127
128,HD 250BT,audio,16000,3.1,TiendaElectro,SENAU00128
129,Hesh Evo,audio,108000,4.4,OutletCL,SKUAU00129
130,Sony Alpha 60,camara,1183000,4.2,Hites,SONCA00130
131,Major IV,audio,67000,2.9,Ripley,MARAU00131
132,U8H,tv,1363000,4.9,Hites,HISTV00132
133,Huawei 11 12,tablet,527000,3.0,PC Factory,HUATA00133
134,Bravia A80,tv,1317000,3.4,Ripley,SONTV00134
135,Philips Deluxe 29,electrohogar,1092000,4.6,MercadoLibre Chile,PHIEL00135
136,Find X6,celular,1142000,3.3,Falabella,OPPCE00136
137,Alcatel Lite 4,tablet,463000,4.0,PC Factory,ALCTA00137
138,iPhone SE,celular,481000,4.4,Hites,APPCE00138
139,Ninja Plus 5,electrohogar,107000,4.2,SóloParaTi,NINEL00139
140,UK4,tv,343000,4.5,PC Factory,TOSTV00140
141,Huawei 2024 3,smartwatch,348000,2.8,PC Factory,HUASM00141
142,Philips Pro 54,electrohogar,436000,4.4,MercadoLibre Chile,PHIEL00142
143,Lenovo 11 48,tablet,218000,3.4,PC Factory,LENTA00143
144,Olympus Coolpix 94,camara,1665000,4.5,PC Factory,OLYCA00144
145,Samsung Active 53,smartwatch,136000,3.9,ABCDigital,SAMSM00145
146,Tecno Camon 20,celular,697000,3.7,ABCDigital,TECCE00146
147,Microsoft 10 62,tablet,194000,4.8,Hites,MICTA00147
148,Soundcore Motion,audio,19000,5.0,Falabella,ANKAU00148
149,Lenovo Pad 24,tablet,771000,3.3,SóloParaTi,LENTA00149
150,Gaming TV,tv,327000,4.9,Paris.cl,AOCTV00150
151,UK4,tv,1731000,3.6,ABCDigital,TOSTV00151
152,Aquos,tv,225000,4.7,Paris,SHATV00152
153,Apple Pad 32,tablet,613000,4.6,OutletCL,APPTA00153
154,Aura Studio 3,audio,358000,4.3,Paris,HARAU00154
155,Microsoft 10 87,tablet,156000,2.6,Hites,MICTA00155
156,Nikon Lumix 1,camara,516000,3.2,OutletCL,NIKCA00156
157,Find X6,celular,133000,3.6,OutletCL,OPPCE00157
158,Canon HERO 15,camara,248000,3.8,Ripley,CANCA00158
159,Xiaomi Watch 83,smartwatch,236000,4.3,Ripley,XIASM00159
160,Microsoft Tab 43,tablet,645000,4.2,Falabella,MICTA00160
161,Apple Pad 53,tablet,640000,4.1,Hites,APPTA00161
162,Oster Deluxe 1,electrohogar,1048000,4.5,Falabella,OSTEL00162
163,Xiaomi Active 78,smartwatch,424000,4.4,Ripley,XIASM00163
164,Soundcore Life,audio,375000,5.0,Falabella,ANKAU00164
165,Suunto Lite 37,smartwatch,79000,2.6,Ripley,SUUSM00165
166,NanoCell 75,tv,1736000,2.9,ABCDigital,LGTV00166
167,MOMENTUM 4,audio,200000,4.1,Ripley,SENAU00167
168,SRS-XB13,audio,202000,4.8,MercadoLibre Chile,SONAU00168
169,ATH-CKS50,audio,262000,4.1,PC Factory,AUDAU00169
170,Samsung Active 55,smartwatch,273000,4.0,MercadoLibre Chile,SAMSM00170
171,Fit Pro,audio,286000,3.1,OutletCL,BEAAU00171
172,Amazfit 2024 81,smartwatch,88000,2.5,Hites,AMASM00172
173,C645,tv,1228000,3.2,Paris,TCLTV00173
174,Polar Pro 12,smartwatch,243000,3.1,Paris.cl,POLSM00174
175,Vivo Y27,celular,929000,3.2,Hites,VIVCE00175
176,MacBook Pro 14,laptop,1730000,4.4,Hites,APPLA00176
177,HD 250BT,audio,321000,2.9,Hites,SENAU00177
178,OnePlus Nord 3,celular,278000,3.8,Falabella,ONECE00178
179,Kodak EOS 21,camara,1883000,3.3,PC Factory,KODCA00179
180,Mabe Deluxe 17,electrohogar,1160000,3.6,Paris,MABEL00180
181,U7H,tv,1964000,4.8,Paris,HISTV00181
182,Pavilion 15,laptop,2358000,3.0,OutletCL,HPLA00182
183,Samsung Tab 11,tablet,390000,3.5,MercadoLibre Chile,SAMTA00183
184,Ninja Plus 33,electrohogar,1024000,2.9,Ripley,NINEL00184
185,Suunto Lite 44,smartwatch,252000,4.3,Falabella,SUUSM00185
186,Reno 10,celular,708000,4.9,Falabella,OPPCE00186
187,Summit E16,laptop,1942000,2.9,Falabella,MSILA00187
188,Alcatel 11 63,tablet,574000,3.0,SóloParaTi,ALCTA00188
189,KitchenAid Plus 70,electrohogar,624000,2.7,ABCDigital,KITEL00189
190,Samsung Pro 99,smartwatch,339000,4.5,SóloParaTi,SAMSM00190
191,Katana 15,laptop,1279000,4.1,Hites,MSILA00191
192,ProBook,laptop,684000,4.7,La Polar,HPLA00192
193,Studio Buds,audio,363000,4.5,TiendaElectro,BEAAU00193
194,Find X6,celular,480000,4.3,La Polar,OPPCE00194
195,Sony Lumix 66,camara,1704000,3.9,Hites,SONCA00195
196,Soundcore Motion,audio,41000,3.6,Falabella,ANKAU00196
197,Vivo V29,celular,486000,4.1,Paris.cl,VIVCE00197
198,Whirlpool Deluxe 12,electrohogar,1077000,3.5,PC Factory,WHIEL00198
199,Tune 760NC,audio,37000,3.8,OutletCL,JBLAU00199
200,Predator Helios,laptop,1987000,3.8,OutletCL,ACELA00200
201,Moto G84,celular,716000,3.6,Falabella,MOTCE00201
202,Surface Laptop 5,laptop,544000,3.9,Ripley,MICLA00202
203,SRS-XB13,audio,75000,4.1,La Polar,SONAU00203
204,Samsung 10 86,tablet,141000,4.6,PC Factory,SAMTA00204
205,iPhone 13,celular,930000,4.5,Paris.cl,APPCE00205
206,ProBook,laptop,437000,4.8,SóloParaTi,HPLA00206
207,Canon Coolpix 41,camara,1946000,4.6,TiendaElectro,CANCA00207
208,TCL Pad 92,tablet,756000,2.6,OutletCL,TCLTA00208
209,Black+Decker Smart 57,electrohogar,243000,4.6,SóloParaTi,BLAEL00209
210,Mabe Deluxe 11,electrohogar,341000,4.3,Paris,MABEL00210
211,Smart TV,tv,1913000,3.4,TiendaElectro,AOCTV00211
212,GoPro Lumix 20,camara,272000,3.1,OutletCL,GOPCA00212
213,Oster Smart 19,electrohogar,498000,3.2,OutletCL,OSTEL00213
214,Garmin Lite 48,smartwatch,73000,4.5,SóloParaTi,GARSM00214
215,Galaxy S24,celular,1026000,3.1,Falabella,SAMCE00215
216,Xiaomi Watch 73,smartwatch,369000,4.1,Paris,XIASM00216
217,UK4,tv,1488000,3.5,Hites,TOSTV00217
218,The Frame,tv,247000,3.0,PC Factory,SAMTV00218
219,Mabe Plus 1,electrohogar,1173000,4.7,Paris,MABEL00219
220,Aspire 5,laptop,1201000,4.9,Paris.cl,ACELA00220
221,MacBook Pro 14,laptop,1136000,4.5,TiendaElectro,APPLA00221
222,Pixel 8 Pro,celular,922000,4.7,PC Factory,GOOCE00222
223,OLED G3,tv,1365000,3.2,Hites,LGTV00223
224,MacBook Pro 14,laptop,2053000,3.6,MercadoLibre Chile,APPLA00224
225,Realme Tab 93,tablet,415000,3.9,Paris,REATA00225
226,Mabe Deluxe 63,electrohogar,434000,3.6,Paris,MABEL00226
227,Lenovo Pad 83,tablet,287000,3.6,Falabella,LENTA00227
228,Samsung Pro 48,electrohogar,387000,3.5,MercadoLibre Chile,SAMEL00228
229,C835,tv,1984000,3.8,PC Factory,TCLTV00229
230,Polaroid Lumix 63,camara,1804000,4.7,OutletCL,POLCA00230
231,Tecno Spark 10,celular,249000,2.7,Hites,TECCE00231
232,Alienware m16,laptop,710000,3.5,Paris,DELLA00232
233,iPhone 15 Pro,celular,494000,4.5,SóloParaTi,APPCE00233
234,Legion 5,laptop,1567000,2.8,Falabella,LENLA00234
235,Realme 10,celular,582000,4.3,La Polar,REACE00235
236,Garmin 2024 96,smartwatch,152000,4.0,MercadoLibre Chile,GARSM00236
237,TCL Lite 17,tablet,554000,3.5,OutletCL,TCLTA00237
238,Yoga 7i,laptop,1533000,3.7,Ripley,LENLA00238
239,Hamilton Beach Pro 44,electrohogar,136000,2.5,MercadoLibre Chile,HAMEL00239
240,Huawei Tab 14,tablet,281000,4.2,SóloParaTi,HUATA00240
241,Polar Watch 47,smartwatch,316000,2.7,PC Factory,POLSM00241
242,Mabe Plus 99,electrohogar,1050000,2.9,La Polar,MABEL00242
243,Apple Pro 75,smartwatch,443000,2.8,La Polar,APPSM00243
244,Smart TV,tv,668000,4.8,TiendaElectro,AOCTV00244
245,ATH-M50x,audio,154000,5.0,La Polar,AUDAU00245
246,Major IV,audio,178000,3.8,Ripley,MARAU00246
247,Whirlpool Plus 41,electrohogar,62000,4.3,SóloParaTi,WHIEL00247
248,The Frame,tv,1126000,4.9,SóloParaTi,SAMTV00248
249,iPhone 14,celular,1007000,3.3,PC Factory,APPCE00249
250,Fitbit Lite 99,smartwatch,183000,4.0,OutletCL,FITSM00250
251,Polaroid Lumix 10,camara,1181000,4.2,Ripley,POLCA00251
252,Realme GT 3,celular,387000,4.3,ABCDigital,REACE00252
253,C350,tv,714000,4.3,ABCDigital,TOSTV00253
254,Alienware m16,laptop,2119000,2.7,MercadoLibre Chile,DELLA00254
255,Polar Lite 73,smartwatch,311000,4.8,Paris.cl,POLSM00255
256,Vostro,laptop,1501000,3.0,Ripley,DELLA00256
257,Emberton II,audio,247000,4.2,Ripley,MARAU00257
258,Kodak EOS 72,camara,1705000,3.6,OutletCL,KODCA00258
259,Fitbit Watch 63,smartwatch,158000,3.9,TiendaElectro,FITSM00259
260,Crusher Evo,audio,191000,4.8,Ripley,SKUAU00260
261,Galaxy M54,celular,780000,3.3,TiendaElectro,SAMCE00261
262,A98,celular,794000,3.3,La Polar,OPPCE00262
263,ThinkPad X1,laptop,1336000,3.6,MercadoLibre Chile,LENLA00263
264,U6H,tv,813000,4.9,MercadoLibre Chile,HISTV00264
265,ATH-M50x,audio,74000,3.9,Falabella,AUDAU00265
266,Canon HERO 41,camara,568000,2.6,Falabella,CANCA00266
267,Aquos,tv,1233000,3.9,Ripley,SHATV00267
268,Canon EOS 25,camara,1137000,3.7,Hites,CANCA00268
269,Samsung Plus 10,electrohogar,1199000,3.2,Falabella,SAMEL00269
270,C835,tv,1633000,3.3,PC Factory,TCLTV00270
271,Panasonic HERO 66,camara,1869000,4.5,ABCDigital,PANCA00271
272,ATH-S220,audio,113000,3.4,PC Factory,AUDAU00272
273,Apple Pad 39,tablet,651000,4.8,Hites,APPTA00273
274,Hamilton Beach Deluxe 67,electrohogar,1047000,3.2,Paris.cl,HAMEL00274
275,TCL Tab 3,tablet,716000,4.5,MercadoLibre Chile,TCLTA00275
276,Realme 10 94,tablet,285000,3.1,SóloParaTi,REATA00276
277,Ninja Smart 17,electrohogar,866000,3.6,PC Factory,NINEL00277
278,MateBook 14,laptop,2044000,5.0,OutletCL,HUALA00278
279,Xiaomi 2024 6,smartwatch,394000,4.6,Ripley,XIASM00279
280,OnePlus Nord 3,celular,778000,4.8,Paris.cl,ONECE00280
281,Realme GT 3,celular,940000,4.5,OutletCL,REACE00281
282,Aspire 5,laptop,1080000,4.1,Paris.cl,ACELA00282
283,Lenovo Pad 27,tablet,546000,3.1,TiendaElectro,LENTA00283
284,Reno 11,celular,1141000,2.7,Paris.cl,OPPCE00284
285,C735,tv,1851000,2.6,MercadoLibre Chile,TCLTV00285
286,The One,tv,1431000,2.5,Hites,PHITV00286
287,Polar Lite 31,smartwatch,346000,2.8,OutletCL,POLSM00287
288,Predator Helios,laptop,1492000,3.0,Falabella,ACELA00288
289,Bravia A95,tv,231000,4.9,Falabella,SONTV00289
290,Swift 3,laptop,2437000,2.7,Falabella,ACELA00290
291,Legion 5,laptop,633000,3.4,Ripley,LENLA00291
292,LG Deluxe 86,electrohogar,143000,4.3,Falabella,LGEL00292
293,C835,tv,1517000,3.6,Falabella,TCLTV00293
294,Crystal UHD,tv,1593000,3.6,ABCDigital,SAMTV00294
295,Whirlpool Deluxe 85,electrohogar,411000,3.1,La Polar,WHIEL00295
296,GoPro Alpha 8,camara,794000,4.6,PC Factory,GOPCA00296
297,Z870,tv,337000,4.6,SóloParaTi,TOSTV00297
298,Microsoft Tab 50,tablet,597000,3.3,Paris,MICTA00298
299,Xiaomi 10 90,tablet,87000,4.2,MercadoLibre Chile,XIATA00299
300,MateBook 14,laptop,636000,4.2,Paris,HUALA00300
301,Philips Plus 13,electrohogar,869000,4.0,OutletCL,PHIEL00301
302,Aquos,tv,1368000,3.7,Hites,SHATV00302
303,C835,tv,1676000,3.0,SóloParaTi,TCLTV00303
304,Samsung Watch 10,smartwatch,343000,3.7,La Polar,SAMSM00304
305,Nikon Alpha 44,camara,1462000,3.5,TiendaElectro,NIKCA00305
306,Kodak Coolpix 8,camara,486000,3.3,Falabella,KODCA00306
307,QLED Q80,tv,1789000,2.7,PC Factory,SAMTV00307
308,Moto G84,celular,564000,3.1,Paris,MOTCE00308
309,Insta360 EOS 74,camara,1770000,4.8,Ripley,INSCA00309
310,Kodak Lumix 53,camara,1631000,2.6,Paris,KODCA00310
311,Onyx Studio 7,audio,84000,3.6,MercadoLibre Chile,HARAU00311
312,IdeaPad 3,laptop,1432000,3.1,Hites,LENLA00312
313,The Frame,tv,1068000,4.1,La Polar,SAMTV00313
314,Find X6,celular,278000,4.9,ABCDigital,OPPCE00314
315,KitchenAid Deluxe 23,electrohogar,104000,3.7,SóloParaTi,KITEL00315
316,Studio Buds,audio,139000,4.5,Paris.cl,BEAAU00316
317,Canon EOS 72,camara,1864000,3.1,PC Factory,CANCA00317
318,Reno 10,celular,197000,4.0,MercadoLibre Chile,OPPCE00318
319,Black+Decker Smart 79,electrohogar,466000,3.4,OutletCL,BLAEL00319
320,Studio Buds,audio,312000,2.8,Paris,BEAAU00320
321,Inspiron 15,laptop,403000,4.5,Ripley,DELLA00321
322,C735,tv,272000,4.5,MercadoLibre Chile,TCLTV00322
323,Crusher Evo,audio,145000,3.8,Paris,SKUAU00323
324,Sony Coolpix 60,camara,1207000,3.1,Hites,SONCA00324
325,Amazon Pad 34,tablet,495000,4.6,Paris,AMATA00325
326,UHD 4K,tv,1711000,4.0,MercadoLibre Chile,LGTV00326
327,Fitbit Lite 67,smartwatch,278000,3.5,Hites,FITSM00327
328,Suunto Watch 14,smartwatch,304000,4.4,SóloParaTi,SUUSM00328
329,Poco X6,celular,1168000,4.1,OutletCL,XIACE00329
330,Pixel 8,celular,625000,2.8,OutletCL,GOOCE00330
331,Galaxy Book3,laptop,1020000,3.5,Paris,SAMLA00331
332,OnePlus CE 3 Lite,celular,1018000,3.4,ABCDigital,ONECE00332
333,Polar Active 72,smartwatch,319000,4.5,SóloParaTi,POLSM00333
334,Studio Buds,audio,211000,3.8,PC Factory,BEAAU00334
335,NanoCell 75,tv,1759000,2.8,Falabella,LGTV00335
336,Alcatel 11 66,tablet,410000,2.9,OutletCL,ALCTA00336
337,Surface Laptop 5,laptop,414000,3.8,Ripley,MICLA00337
338,ROG Strix,laptop,630000,4.4,Paris.cl,ASULA00338
339,UK4,tv,598000,3.9,Falabella,TOSTV00339
340,Apple Pad 22,tablet,610000,4.3,ABCDigital,APPTA00340
341,Nikon HERO 48,camara,1326000,3.4,TiendaElectro,NIKCA00341
342,GoPro EOS 62,camara,1902000,4.2,PC Factory,GOPCA00342
343,Polaroid Lumix 2,camara,226000,4.7,Ripley,POLCA00343
344,Galaxy F54,celular,137000,4.9,PC Factory,SAMCE00344
345,Olympus Lumix 78,camara,220000,3.9,OutletCL,OLYCA00345
346,MateBook X Pro,laptop,1094000,2.7,OutletCL,HUALA00346
347,SRS-XB13,audio,319000,3.4,MercadoLibre Chile,SONAU00347
348,Kodak HERO 18,camara,616000,3.9,La Polar,KODCA00348
349,Suunto Lite 41,smartwatch,89000,3.8,Paris.cl,SUUSM00349
350,Galaxy F54,celular,801000,3.5,La Polar,SAMCE00350
351,ATH-M50x,audio,270000,4.0,ABCDigital,AUDAU00351
352,Whirlpool 2024 36,electrohogar,75000,4.1,Ripley,WHIEL00352
353,Lenovo 11 34,tablet,689000,3.9,Falabella,LENTA00353
354,Samsung Deluxe 2,electrohogar,742000,3.1,SóloParaTi,SAMEL00354
355,Canon HERO 43,camara,1373000,4.9,TiendaElectro,CANCA00355
356,Bravia A80,tv,1379000,4.7,ABCDigital,SONTV00356
357,Philips 2024 47,electrohogar,228000,2.9,Paris.cl,PHIEL00357
358,Victus Gaming,laptop,1349000,3.3,Ripley,HPLA00358
359,Lenovo Pad 51,tablet,351000,3.6,ABCDigital,LENTA00359
360,The Frame,tv,816000,3.8,PC Factory,SAMTV00360
361,Mabe Deluxe 56,electrohogar,1192000,3.3,Paris.cl,MABEL00361
362,Suunto Active 15,smartwatch,437000,3.4,MercadoLibre Chile,SUUSM00362
363,UHD 4K,tv,518000,3.4,TiendaElectro,AOCTV00363
364,Philips Plus 38,electrohogar,309000,2.6,La Polar,PHIEL00364
365,Amazfit Watch 4,smartwatch,184000,4.6,Falabella,AMASM00365
366,GoPro HERO 95,camara,1653000,3.7,OutletCL,GOPCA00366
367,QuietComfort Earbuds,audio,97000,2.5,SóloParaTi,BOSAU00367
368,C645,tv,844000,4.7,TiendaElectro,TCLTV00368
369,OLED 808,tv,343000,4.9,PC Factory,PHITV00369
370,Aquos,tv,1092000,3.5,Paris,SHATV00370
371,KitchenAid Plus 50,electrohogar,241000,2.9,PC Factory,KITEL00371
372,U6H,tv,1697000,3.1,SóloParaTi,HISTV00372
373,C735,tv,1136000,3.2,MercadoLibre Chile,TCLTV00373
374,Black+Decker Smart 16,electrohogar,1156000,3.9,MercadoLibre Chile,BLAEL00374
375,Apple 2024 98,smartwatch,372000,2.7,OutletCL,APPSM00375
376,Amazfit Active 13,smartwatch,224000,4.3,SóloParaTi,AMASM00376
377,Fossil Pro 21,smartwatch,41000,3.4,Paris,FOSSM00377
378,Panasonic Alpha 41,camara,227000,2.8,La Polar,PANCA00378
379,Crystal UHD,tv,1575000,2.7,SóloParaTi,SAMTV00379
380,OnePlus 11,celular,479000,4.0,MercadoLibre Chile,ONECE00380
381,Swift 3,laptop,1885000,4.3,MercadoLibre Chile,ACELA00381
382,Pixel 8,celular,1188000,4.0,Paris.cl,GOOCE00382
383,Black+Decker Smart 90,electrohogar,828000,2.7,ABCDigital,BLAEL00383
384,Whirlpool 2024 19,electrohogar,984000,4.3,TiendaElectro,WHIEL00384
385,iPhone 15 Pro,celular,265000,3.1,La Polar,APPCE00385
386,Microsoft Lite 13,tablet,788000,3.1,MercadoLibre Chile,MICTA00386
387,Poco M6,celular,471000,4.1,OutletCL,XIACE00387
388,Fujifilm Coolpix 47,camara,1987000,3.6,PC Factory,FUJCA00388
389,Pixel 8 Pro,celular,486000,4.3,Ripley,GOOCE00389
390,Apple 2024 83,smartwatch,234000,3.2,La Polar,APPSM00390
391,Samsung Deluxe 77,electrohogar,639000,2.8,La Polar,SAMEL00391
392,A6H,tv,1278000,4.8,ABCDigital,HISTV00392
393,ATH-CKS50,audio,106000,4.1,Paris.cl,AUDAU00393
